TIMESTAMP	ACCX	ACCY	ACCZ
1653460175627	-0.16406	0.24658	3.88379
1653460175674	-0.17334	0.20264	3.87207
1653460175719	-0.19287	0.18506	3.86230
1653460175777	-0.19824	0.19482	3.89990
1653460175823	-0.20361	0.19971	3.86230
1653460175868	-0.18896	0.22314	3.83984
1653460175927	-0.17334	0.22998	3.86816
1653460175974	-0.21094	0.22705	3.86670
1653460176018	-0.19043	0.20996	3.88672
1653460176078	-0.17334	0.20801	3.86230
1653460176124	-0.19678	0.23193	3.85645
1653460176183	-0.16846	0.20508	3.86670
1653460176228	-0.19189	0.19824	3.86621
1653460176288	-0.18994	0.19824	3.85889
1653460176349	-0.17529	0.21191	3.87305
1653460176378	-0.18604	0.18262	3.89258
